,city,Lat,Long,MaxTemp,Humidity,Cloundiness,Wind Speed
463,Mahajanga,-15.72,46.32,306.15,46,20,5.1
464,Hokitika,-42.72,170.97,282.12,89,78,1.73
465,Bandarbeyla,9.49,50.81,300.1,72,0,4.3
466,Surgut,61.25,73.42,266.15,92,75,2.0
467,Chenghai,23.46,116.77,296.15,43,0,4.0
468,Palana,59.12,159.97,274.31,90,0,1.67
469,Banjar,-8.19,114.97,300.15,83,20,4.1
470,Camapuã,-19.53,-54.04,303.66,49,98,3.8
471,Tezu,27.92,96.17,293.98,86,100,1.31
472,Frisco,33.15,-96.82,292.15,88,90,6.2
473,Karratha,-20.74,116.85,295.64,73,0,7.53
474,Bonnyville,54.27,-110.73,265.15,78,90,2.1
